campaign_id ,campaign_name                                     ,description                                                                                                                                                                   ,start_date ,end_date   ,budget   ,target_audience ,channel      ,total_cost
          1 ,De-engineered systemic policy                     ,Adult look huge again baby traditional painting. Sense have growth. Brother push according place piece which decade. Outside toward various someone amount sometimes good he. ,2019-12-30 ,2020-01-11 ,31892.6  ,Adults          ,Social Media ,  28352.75
          2 ,Persevering optimal strategy                      ,Know stay land reveal mouth.                                                                                                                                                  ,2022-08-26 ,2022-11-14 ,27474.08 ,Adults          ,Social Media ,  22324.5
          3 ,Multi-channeled zero administration orchestration ,Kid fund assume fall name defense.                                                                                                                                            ,2016-04-16 ,2016-05-26 ,46560.19 ,Professionals   ,Direct Mail  ,  46535.43
          4 ,Virtual non-volatile methodology                  ,Major end table administration common television successful rest. Usually at research president history maintain. Better tell forward these especially.                       ,2015-04-24 ,2015-07-01 ,39373.0  ,Teens           ,Direct Mail  ,  44937.38
          5 ,Distributed logistical open system                ,Smile every every they build. Take other give friend personal reason.                                                                                                         ,2021-12-14 ,2022-02-05 ,38496.99 ,Professionals   ,Direct Mail  ,  35588.96
          6 ,Switchable hybrid extranet                        ,Congress more order area daughter. Seven else right stop move. Range degree kitchen must.                                                                                     ,2020-12-15 ,2021-02-07 ,15640.96 ,Teens           ,Email        ,  14078.08
          7 ,Devolved client-driven strategy                   ,Usually long move hand despite operation hour window. Commercial herself hope. Enough likely cold painting.                                                                   ,2016-07-27 ,2016-10-09 , 6430.51 ,Seniors         ,Online Ads   ,   5664.1
          8 ,Business-focused executive conglomeration         ,Task pull out sit partner turn.                                                                                                                                               ,2020-09-08 ,2020-10-02 , 6286.06 ,Teens           ,Email        ,   5988.9
          9 ,Persevering regional collaboration                ,Thing record personal east list. Tend control lay relationship key company environmental bed.                                                                                 ,2023-03-05 ,2023-04-10 ,29135.72 ,Teens           ,Online Ads   ,  26047.79
         10 ,Persevering web-enabled solution                  ,While develop modern why. Son thousand run cost responsibility while box.                                                                                                     ,2015-10-30 ,2015-11-15 ,27330.46 ,Teens           ,Social Media ,  29420.12
         11 ,Re-engineered encompassing customer loyalty       ,Hope consider themselves. Laugh hotel able cut.                                                                                                                               ,2024-05-11 ,2024-06-14 ,32987.26 ,Teens           ,Email        ,  31208.9
         12 ,Right-sized impactful forecast                    ,Group the his pressure. Possible cover player shoulder. Right provide movement inside use.                                                                                    ,2015-01-08 ,2015-01-26 ,16254.98 ,Seniors         ,Online Ads   ,  17859.1
         13 ,Versatile grid-enabled middleware                 ,Very effort whatever six entire. Fear company state.                                                                                                                          ,2022-01-11 ,2022-01-24 ,23760.99 ,Professionals   ,Social Media ,  21388.68
         14 ,User-friendly optimal neural-net                  ,Effort level third race. Determine factor in wrong.                                                                                                                           ,2020-09-28 ,2020-12-02 , 7792.11 ,Adults          ,Direct Mail  ,   7435.25
         15 ,Synchronized content-based projection             ,Reality agreement argue though. Yard agent camera value. Even yet especially then upon country.                                                                               ,2014-10-30 ,2014-12-15 ,36147.77 ,Adults          ,Online Ads   ,  39709.77
         16 ,Profound encompassing analyzer                    ,Change probably when lose difference available. Tend enter red good. Behavior issue almost great defense know. Common suggest shoulder long peace sometimes response.         ,2019-09-07 ,2019-10-25 ,15979.77 ,Professionals   ,Direct Mail  ,  13788.54
         17 ,Diverse attitude-oriented benchmark               ,Rather mother travel. Another cup evening manage.                                                                                                                             ,2015-12-19 ,2016-02-20 ,48000.0  ,Seniors         ,Social Media ,  51089.33
         18 ,Grass-roots mission-critical archive              ,Policy age outside early. Bad exist cause keep space leader. Become road visit green enjoy camera.                                                                            ,2015-04-15 ,2015-06-22 ,35165.9  ,Teens           ,Direct Mail  ,  28899.78
         19 ,Switchable user-facing project                    ,Goal face politics million. Put strong important.                                                                                                                             ,2017-06-01 ,2017-08-24 ,14811.81 ,Seniors         ,Direct Mail  ,  16737.66
         20 ,Innovative even-keeled solution                   ,Site example term someone vote stock others social. Continue home yourself to hundred month keep enter. Above general safe range.                                             ,2016-08-31 ,2016-10-01 ,17898.95 ,Teens           ,Email        ,  15957.91
         21 ,Streamlined client-server instruction set         ,Attack himself stage near letter part. Send write director none foot. Research fire manager add product college argue.                                                        ,2024-03-04 ,2024-04-29 ,25855.12 ,Professionals   ,Social Media ,  25463.13
         22 ,Polarized interactive parallelism                 ,Assume short wind order. Study region family first line another. Maybe soon foot attorney one.                                                                                ,2014-12-18 ,2015-01-11 , 8879.59 ,Seniors         ,Social Media ,   8988.71
         23 ,Proactive 24hour middleware                       ,Physical finally worker environmental. Phone ready war baby financial site. Plant option operation main sort away follow. Capital bar energy understand return today.         ,2016-07-03 ,2016-09-22 ,30526.71 ,Seniors         ,Email        ,  34558.08
         24 ,Implemented solution-oriented support             ,Rather next health country. Group response seat budget family local throughout.                                                                                               ,2022-12-27 ,2023-02-20 ,47633.23 ,Seniors         ,Direct Mail  ,  50013.76
